1000 outputs of genrand64_int64()
0.01717092 0.60155725 0.03001652 0.50979706 0.80531036 
0.17450719 0.84984399 0.00498130 0.51636405 0.14080868 
0.62289701 0.07853030 0.70567541 0.79844050 0.63766566 
0.03559031 0.40994535 0.08423996 0.00389626 0.50608347 
0.19622681 0.90537903 0.75458034 0.75102094 0.81491673 
0.92925931 0.38074332 0.54817053 0.72593246 0.02146791 
0.57990460 0.87921074 0.59913886 0.66726893 0.24269154 
0.73344575 0.71826052 0.92313935 0.05212996 0.93771536 
0.69489385 0.57581887 0.48106155 0.06808800 0.33633940 
0.69142320 0.46566781 0.70654143 0.16541368 0.76257631 
0.82777900 0.62958327 0.34757935 0.10891487 0.79912728 
0.01156543 0.23111261 0.58535640 0.87461956 0.21723454 
0.80409615 0.33169686 0.72800785 0.31218099 0.13729737 
0.41637635 0.01234597 0.58313811 0.66746028 0.05105595 
0.14930937 0.56044864 0.76196851 0.98800104 0.37075949 
0.88740864 0.40697115 0.96598278 0.86013661 0.85386784 
0.23986516 0.39027464 0.59593927 0.00161530 0.31768197 
0.65702729 0.66461914 0.62937471 0.92120758 0.87578958 
0.37539860 0.59182615 0.12092214 0.55130437 0.86365117 
0.38725162 0.28757657 0.42803199 0.39014405 0.50253853 
0.85306128 0.92018995 0.71421618 0.54236780 0.96221157 
0.22956898 0.96519876 0.06694102 0.11915854 0.01354308 
0.24720070 0.71671739 0.00604305 0.65012352 0.71151390 
0.46616159 0.99228224 0.20684576 0.62941006 0.84535326 
0.30678993 0.55264568 0.50094784 0.39409122 0.15479416 
0.36536318 0.51925656 0.65567178 0.67255519 0.55089659 
0.42194295 0.27172413 0.79540954 0.71594806 0.88372598 
0.29179452 0.66411306 0.57064687 0.42494633 0.73389255 
0.12097313 0.53338622 0.38493233 0.79348021 0.01851341 
0.58594454 0.88396240 0.04410730 0.67419924 0.62770011 
0.64644200 0.40335135 0.17952644 0.55564678 0.56643922 
0.37715015 0.87092180 0.56726159 0.34011210 0.13661819 
0.11474177 0.93930097 0.48549077 0.28484289 0.13374371 
0.40966056 0.73662873 0.37355323 0.65216092 0.27372469 
0.56032082 0.14882684 0.95462890 0.17090266 0.92374766 
0.98368259 0.68448367 0.02872548 0.68598279 0.04601084 
0.17170501 0.08906644 0.23730372 0.02929037 0.38566261 
0.68957569 0.53021050 0.44200157 0.32085701 0.72520053 
0.17454174 0.19676599 0.88243877 0.87030228 0.15124486 
0.78670160 0.51731632 0.56674531 0.20910664 0.84962640 
0.05220467 0.91783159 0.19138968 0.68126378 0.79574471 
0.14910848 0.28030331 0.98067264 0.31263980 0.67448964 
0.69266650 0.40033551 0.22789781 0.78317066 0.55815261 
0.11247054 0.47337901 0.46310033 0.53192452 0.56164078 
0.41750378 0.43880622 0.69739327 0.11092778 0.18333765 
0.67222441 0.12789170 0.88316806 0.37891271 0.14935268 
0.64522185 0.93902079 0.62481092 0.21794927 0.71535266 
0.62169579 0.65147153 0.01411645 0.96413465 0.01021578 
0.50605180 0.51595053 0.03308040 0.01497870 0.07809658 
0.35743383 0.58079701 0.11785557 0.89568677 0.38793964 
0.37117709 0.13994133 0.11032813 0.99998594 0.06695042 
0.79774786 0.11093584 0.23879095 0.85918615 0.16109636 
0.63479696 0.75023359 0.29061187 0.53764772 0.30652318 
0.51387302 0.81620973 0.82433610 0.18302488 0.79048957 
0.07598187 0.27887732 0.37061042 0.36441016 0.93736882 
0.77480946 0.02269132 0.40309874 0.16427650 0.13969296 
0.57605029 0.00242426 0.56626691 0.84390990 0.87455806 
0.12321023 0.87561663 0.60431578 0.35880839 0.50426282 
0.50697689 0.06631164 0.14976092 0.89356018 0.91473662 
0.04235237 0.50073724 0.75969690 0.91743994 0.79352335 
0.58078351 0.91819984 0.53520520 0.18267367 0.05608828 
0.68315721 0.27264599 0.41245634 0.69706222 0.69666203 
0.08967342 0.64081905 0.22576796 0.69315628 0.53981640 
0.76059129 0.56712344 0.94318621 0.44081094 0.31699284 
0.29477911 0.80069824 0.28366921 0.96718081 0.85345644 
0.11681215 0.47600710 0.33448255 0.31217271 0.35469241 
0.59511650 0.49583692 0.48922303 0.20215259 0.60159380 
0.17882055 0.77601258 0.71020391 0.41833503 0.71522856 
0.87534517 0.43703394 0.43056077 0.64828071 0.43069441 
0.39356849 0.32063367 0.92788963 0.16878266 0.56762591 
0.56042446 0.84958464 0.79408949 0.08220340 0.13922856 
0.82529019 0.27134959 0.00278080 0.66192389 0.01782933 
0.95404763 0.50787645 0.85320521 0.83690362 0.83771227 
0.46268665 0.31716742 0.01716647 0.68264674 0.01789888 
0.30446846 0.14942271 0.26982182 0.74933947 0.50394161 
0.78444542 0.40009256 0.40333422 0.16627342 0.01898760 
0.04221829 0.77960213 0.66230976 0.56015996 0.49535426 
0.38536259 0.40406773 0.99930568 0.00857945 0.16158390 
0.64805163 0.20237524 0.59106326 0.76968277 0.96887042 
0.29264851 0.97373775 0.16767633 0.33014482 0.27426548 
0.10947014 0.75920652 0.37757457 0.13125207 0.00826451 
0.96684342 0.69362226 0.22763554 0.20717541 0.42112268 
0.22803038 0.33481806 0.14968742 0.71598558 0.55126711 
0.64518015 0.65170197 0.89103003 0.72728361 0.24485454 
0.09410780 0.79818029 0.54212409 0.17790462 0.64442619 
0.62193511 0.51193256 0.02848781 0.05719604 0.45795152 
0.03219332 0.28310254 0.85746127 0.64890240 0.20658356 
0.50946422 0.80432490 0.08354468 0.09222723 0.67455943 
0.44638771 0.76366629 0.99677267 0.89311242 0.11627279 
